door_id,x1,y1,x2,y2,center_x,center_y,model_x,model_z
DOOR__1.1__01,2894,1373,2993,1373,2943.5,1373,59.378,24.615
DOOR__1.1__02,2559,1330,2610,1330,2584.5,1330,43.222,22.680
DOOR__1.1__03,2320,1330,2371,1330,2345.5,1330,32.468,22.680
DOOR__1.1__04,1941,1330,2089,1330,2015,1330,17.595,22.680
DOOR__1.1__05,1658,1330,1713,1330,1685.5,1330,2.768,22.680
DOOR__1.1__06,1409,1330,1471,1330,1440,1330,-8.280,22.680
DOOR__1.1__07,1041,1330,1210,1330,1125.5,1330,-22.432,22.680
DOOR__1.1__08,756,1330,813,1330,784.5,1330,-37.777,22.680
DOOR__1.1__09,512,1330,569,1330,540.5,1330,-48.758,22.680
DOOR__1.1__10,310,1330,398,1330,354,1330,-57.150,22.680
DOOR__1.1__11,304,924,304,817,304,870.5,-59.400,2.002
DOOR__1.1__12,304,786,304,679,304,732.5,-59.400,-4.208
DOOR__1.1__13,304,512,304,405,304,458.5,-59.400,-16.537
DOOR__1.1__14,552,276,526,276,539,276,-48.825,-24.750
DOOR__1.1__15,791,276,765,276,778,276,-38.070,-24.750
DOOR__1.1__16,1187,276,1038,276,1112.5,276,-23.018,-24.750
DOOR__1.1__17,1450,276,1424,276,1437,276,-8.415,-24.750
DOOR__1.1__18,1691,276,1665,276,1678,276,2.430,-24.750
DOOR__1.1__19,2087,276,1938,276,2012.5,276,17.482,-24.750
DOOR__1.1__20,2620,538,2570,538,2595,538,43.695,-12.960
DOOR__1.1__21,2993,894,2891,894,2942,894,59.310,3.060
